"Metric 1","Incidents","incident_id (CUSTOM)","RI","recordable (CUSTOM)","MSD RI","%MSD RI","DART","dart (CUSTOM)","LTI","%LTI"
"Pick",49,0.24623115577889448,12,0.24489795918367346,8,0.2857142857142857,11,0.2391304347826087,0,
"Stow to Prime",41,0.20603015075376885,10,0.20408163265306123,5,0.17857142857142858,9,0.1956521739130435,0,
"Pack Singles",16,0.08040201005025126,5,0.10204081632653061,2,0.07142857142857142,5,0.10869565217391304,0,
"IC-QA-CS",14,0.07035175879396985,4,0.08163265306122448,1,0.03571428571428571,4,0.08695652173913043,0,
"Container Build",8,0.04020100502512563,2,0.04081632653061224,1,0.03571428571428571,2,0.043478260869565216,0,
"Each Transfer In",8,0.04020100502512563,3,0.061224489795918366,2,0.07142857142857142,3,0.06521739130434782,0,
"Each-Receive",7,0.035175879396984924,1,0.02040816326530612,1,0.03571428571428571,1,0.021739130434782608,0,
"RSR Support",7,0.035175879396984924,2,0.04081632653061224,1,0.03571428571428571,2,0.043478260869565216,0,
"Fluid Load",6,0.03015075376884422,1,0.02040816326530612,1,0.03571428571428571,1,0.021739130434782608,0,
"Transfer Out",5,0.02512562814070352,0,0,0,0,0,0,0,
"Transfer Out Pick",5,0.02512562814070352,0,0,0,0,0,0,0,
"Transfer In Dock",4,0.020100502512562814,0,0,0,0,0,0,0,
"Admin/HR/IT",3,0.01507537688442211,1,0.02040816326530612,1,0.03571428571428571,1,0.021739130434782608,0,
"C-Returns Processed",3,0.01507537688442211,0,0,0,0,0,0,0,
"Pack Multis",3,0.01507537688442211,1,0.02040816326530612,1,0.03571428571428571,1,0.021739130434782608,0,
"Receive-Support",3,0.01507537688442211,0,0,0,0,0,0,0,
"Stow to Prime Spt",3,0.01507537688442211,0,0,0,0,0,0,0,
"Pick Support",2,0.010050251256281407,1,0.02040816326530612,0,0,1,0.021739130434782608,0,
"Ship Dock",2,0.010050251256281407,1,0.02040816326530612,1,0.03571428571428571,1,0.021739130434782608,0,
"Transfer Out Dock",2,0.010050251256281407,1,0.02040816326530612,0,0,1,0.021739130434782608,0,
"IC/QA/CS",1,0.005025125628140704,0,0,0,0,0,0,0,
"LP-Receive",1,0.005025125628140704,1,0.02040816326530612,1,0.03571428571428571,1,0.021739130434782608,0,
"Pack Support",1,0.005025125628140704,1,0.02040816326530612,1,0.03571428571428571,1,0.021739130434782608,0,
"Ship Dock Support",1,0.005025125628140704,1,0.02040816326530612,1,0.03571428571428571,0,0,0,
"Sort-Batch",1,0.005025125628140704,0,0,0,0,0,0,0,
"Transfer In Support",1,0.005025125628140704,0,0,0,0,0,0,0,
"Transfer Out Lead/PA",1,0.005025125628140704,1,0.02040816326530612,0,0,1,0.021739130434782608,0,
"V-Returns Pick",1,0.005025125628140704,0,0,0,0,0,0,0,
